EXPERIMENT_NUMBER,NETWORK_ARCH,DATASET,NUMBER_OF_CLIENTS,CUT_LAYER,TB_INJECT,FIXED_ALPHA,ALPHA,TRAIN_ACCURACY,VALIDATION_ACCURACY,TEST_ACCURACY,BD_TEST_ACCURACY
0,resnet9,cifar10,1,1,False,True,0.5,100.0,87.38,87.98,1.9324744557974234
0,resnet9,cifar10,1,1,False,True,0.2,100.0,85.98,87.22,4.486894713460684
0,resnet9,cifar10,1,1,False,True,0.09,100.0,76.36,75.82,6.1151879030464755
0,resnet9,cifar10,1,1,False,True,0.06,100.0,70.16,68.06,2.132385606397157
0,resnet9,cifar10,1,1,False,True,0.04,99.964,58.98,58.620000000000005,3.935082258781681
0,resnet9,cifar10,1,2,False,True,0.5,100.0,87.8,87.03999999999999,1.4343343792021517
0,resnet9,cifar10,1,2,False,True,0.2,100.0,86.74,86.92,0.801068090787717
0,resnet9,cifar10,1,2,False,True,0.09,100.0,82.02000000000001,80.06,0.7323568575233023
0,resnet9,cifar10,1,2,False,True,0.06,100.0,73.48,73.42,0.2661343978709248
0,resnet9,cifar10,1,2,False,True,0.04,99.912,58.379999999999995,60.36,0.19911504424778761
0,resnet9,cifar10,1,3,False,True,0.5,100.0,86.72,86.6,0.9302325581395349
0,resnet9,cifar10,1,3,False,True,0.2,100.0,83.24000000000001,83.48,1.06171201061712
0,resnet9,cifar10,1,3,False,True,0.09,100.0,44.78,43.38,0.06662225183211193
0,resnet9,cifar10,1,3,False,True,0.06,100.0,31.7,32.4,0.044474093840338
0,resnet9,cifar10,1,3,False,True,0.04,100.0,26.919999999999998,27.860000000000003,2.0348837209302326
0,resnet9,cifar10,3,1,False,True,0.5,100.0,88.53999999999999,87.33999999999999,1.6545334215751157
0,resnet9,cifar10,3,1,False,True,0.2,100.0,85.42,85.06,3.785348474727232
0,resnet9,cifar10,3,1,False,True,0.09,100.0,62.980000000000004,65.44,0.777950655701267
0,resnet9,cifar10,3,1,False,True,0.06,100.0,52.16,52.62,1.7598574292715528
0,resnet9,cifar10,3,1,False,True,0.04,100.0,32.28,33.379999999999995,2.881844380403458
0,resnet9,cifar10,3,2,False,True,0.5,100.0,88.92,88.48,0.7815989280928985
0,resnet9,cifar10,3,2,False,True,0.2,100.0,86.58,86.18,1.563197856185797
0,resnet9,cifar10,3,2,False,True,0.09,100.0,74.76,74.74,0.3996447602131439
0,resnet9,cifar10,3,2,False,True,0.06,100.0,64.03999999999999,64.02,0.022232103156958647
0,resnet9,cifar10,3,2,False,True,0.04,99.984,47.38,46.9,0.17706949977866313
0,resnet9,cifar10,3,3,False,True,0.5,100.0,87.12,88.24,0.6657789613848202
0,resnet9,cifar10,3,3,False,True,0.2,100.0,73.58,73.92,0.31159581571333184
0,resnet9,cifar10,3,3,False,True,0.09,100.0,47.620000000000005,45.58,0.6460236132768991
0,resnet9,cifar10,3,3,False,True,0.06,100.0,40.36,41.9,0.7597765363128492
0,resnet9,cifar10,3,3,False,True,0.04,100.0,21.240000000000002,20.48,1.1330815374361254
0,resnet9,cifar10,5,1,False,True,0.5,100.0,88.16000000000001,88.24,1.117568171658471
0,resnet9,cifar10,5,1,False,True,0.2,100.0,82.52000000000001,83.04,2.3740847570445975
0,resnet9,cifar10,5,1,False,True,0.09,100.0,64.7,64.74,0.4657351962741184
0,resnet9,cifar10,5,1,False,True,0.06,100.0,56.58,56.36,2.1366570220342758
0,resnet9,cifar10,5,1,False,True,0.04,100.0,20.28,20.080000000000002,0.42100598271659645
0,resnet9,cifar10,5,2,False,True,0.5,100.0,87.9,88.14,0.8689839572192514
0,resnet9,cifar10,5,2,False,True,0.2,100.0,84.58,85.11999999999999,0.5113383726100489
0,resnet9,cifar10,5,2,False,True,0.09,100.0,74.53999999999999,73.28,0.06669630947087594
0,resnet9,cifar10,5,2,False,True,0.06,100.0,73.28,73.04,1.5555555555555556
0,resnet9,cifar10,5,2,False,True,0.04,99.9879995199808,53.18000000000001,53.300000000000004,0.2449343130705856
0,resnet9,cifar10,5,3,False,True,0.5,100.0,88.0,86.92,0.48704892627850344
0,resnet9,cifar10,5,3,False,True,0.2,100.0,82.08,81.94,0.9111111111111112
0,resnet9,cifar10,5,3,False,True,0.09,99.9639985599424,40.22,40.5,0.42240995998221437
0,resnet9,cifar10,5,3,False,True,0.06,100.0,28.18,28.1,0.0
0,resnet9,cifar10,5,3,False,True,0.04,100.0,30.159999999999997,29.92,0.08916629514043692
0,resnet9,cifar10,7,1,False,True,0.5,100.0,88.0,87.72,1.0183750276732344
0,resnet9,cifar10,7,1,False,True,0.2,100.0,84.0,83.02000000000001,0.37735849056603776
0,resnet9,cifar10,7,1,False,True,0.09,100.0,52.900000000000006,53.400000000000006,0.0
0,resnet9,cifar10,7,1,False,True,0.06,100.0,50.54,51.580000000000005,21.820199778024417
0,resnet9,cifar10,7,1,False,True,0.04,100.0,41.3,42.480000000000004,31.993783303730016
