EXPERIMENT_NUMBER,NETWORK_ARCH,DATASET,NUMBER_OF_CLIENTS,CUT_LAYER,TB_INJECT,FIXED_ALPHA,ALPHA,TRAIN_ACCURACY,VALIDATION_ACCURACY,TEST_ACCURACY,BD_TEST_ACCURACY
0,resnet9,fmnist,1,1,False,True,0.5,100.0,93.36,92.97,1.8111111111111113
0,resnet9,fmnist,1,1,False,True,0.2,100.0,92.07,91.18,9.777777777777779
0,resnet9,fmnist,1,1,False,True,0.09,100.0,68.64,68.28,32.67777777777778
0,resnet9,fmnist,1,1,False,True,0.06,100.0,61.68,61.92999999999999,45.56666666666666
0,resnet9,fmnist,1,1,False,True,0.04,100.0,28.96,28.68,5.177777777777778
0,resnet9,fmnist,1,2,False,True,0.5,100.0,93.8,93.08999999999999,1.4000000000000001
0,resnet9,fmnist,1,2,False,True,0.2,100.0,93.30000000000001,92.88,2.3666666666666667
0,resnet9,fmnist,1,2,False,True,0.09,100.0,89.36,88.52,9.11111111111111
0,resnet9,fmnist,1,2,False,True,0.06,100.0,88.66000000000001,88.27000000000001,4.811111111111111
0,resnet9,fmnist,1,2,False,True,0.04,100.0,73.6,73.58,28.244444444444444
0,resnet9,fmnist,1,3,False,True,0.5,100.0,93.42,92.97999999999999,1.4555555555555555
0,resnet9,fmnist,1,3,False,True,0.2,100.0,90.73,89.96,0.5222222222222221
0,resnet9,fmnist,1,3,False,True,0.09,100.0,37.59,37.46,11.200000000000001
0,resnet9,fmnist,1,3,False,True,0.06,100.0,49.34,48.64,21.522222222222222
0,resnet9,fmnist,1,3,False,True,0.04,100.0,28.360000000000003,27.83,13.188888888888888
0,resnet9,fmnist,3,1,False,True,0.5,100.0,93.81,93.13,2.433333333333333
0,resnet9,fmnist,3,1,False,True,0.2,100.0,90.81,90.46,4.366666666666666
0,resnet9,fmnist,3,1,False,True,0.09,100.0,74.25,74.92,1.1777777777777778
0,resnet9,fmnist,3,1,False,True,0.06,100.0,61.150000000000006,61.31999999999999,6.477777777777778
0,resnet9,fmnist,3,1,False,True,0.04,100.0,23.96,23.599999999999998,0.011111111111111112
0,resnet9,fmnist,3,2,False,True,0.5,100.0,93.23,93.03,0.6444444444444445
0,resnet9,fmnist,3,2,False,True,0.2,100.0,93.02,92.75999999999999,0.8888888888888888
0,resnet9,fmnist,3,2,False,True,0.09,100.0,90.10000000000001,89.63,1.2222222222222223
0,resnet9,fmnist,3,2,False,True,0.06,100.0,89.45,88.78,0.5555555555555556
0,resnet9,fmnist,3,2,False,True,0.04,100.0,82.92,82.08,0.9555555555555555
0,resnet9,fmnist,3,3,False,True,0.5,100.0,93.37,92.85,1.211111111111111
0,resnet9,fmnist,3,3,False,True,0.2,100.0,88.89,88.24,0.5444444444444444
0,resnet9,fmnist,3,3,False,True,0.09,100.0,68.82000000000001,68.34,1.2666666666666666
0,resnet9,fmnist,3,3,False,True,0.06,100.0,68.73,68.58,0.13333333333333333
0,resnet9,fmnist,3,3,False,True,0.04,100.0,64.95,64.32,0.5333333333333333
0,resnet9,fmnist,5,1,False,True,0.5,100.0,93.28999999999999,93.0,0.8999999999999999
0,resnet9,fmnist,5,1,False,True,0.2,100.0,92.28,91.85,3.7777777777777777
0,resnet9,fmnist,5,1,False,True,0.09,100.0,80.93,80.52,15.555555555555555
0,resnet9,fmnist,5,1,False,True,0.06,100.0,63.81,63.160000000000004,0.011111111111111112
0,resnet9,fmnist,5,1,False,True,0.04,100.0,39.410000000000004,38.47,0.33333333333333337
0,resnet9,fmnist,5,2,False,True,0.5,100.0,93.46,93.38,1.5333333333333332
0,resnet9,fmnist,5,2,False,True,0.2,100.0,92.89,92.52,2.0666666666666664
0,resnet9,fmnist,5,2,False,True,0.09,100.0,89.16,89.4,1.988888888888889
0,resnet9,fmnist,5,2,False,True,0.06,100.0,86.91,86.42999999999999,0.7222222222222222
0,resnet9,fmnist,5,2,False,True,0.04,100.0,87.77000000000001,86.86,0.044444444444444446
0,resnet9,fmnist,5,3,False,True,0.5,100.0,92.7,92.63,0.9444444444444444
0,resnet9,fmnist,5,3,False,True,0.2,100.0,91.17,90.94,0.4555555555555556
0,resnet9,fmnist,5,3,False,True,0.09,100.0,85.99,85.02,0.07777777777777778
0,resnet9,fmnist,5,3,False,True,0.06,100.0,52.559999999999995,52.38,0.011111111111111112
0,resnet9,fmnist,5,3,False,True,0.04,100.0,50.28,50.370000000000005,39.75555555555555
0,resnet9,fmnist,7,1,False,True,0.5,100.0,93.57,92.80000000000001,0.6666666666666667
0,resnet9,fmnist,7,1,False,True,0.2,100.0,92.13,91.94,3.7777777777777777
0,resnet9,fmnist,7,1,False,True,0.09,100.0,85.28,84.43,0.8777777777777779
0,resnet9,fmnist,7,1,False,True,0.06,100.0,72.72,72.54,41.84444444444445
0,resnet9,fmnist,7,1,False,True,0.04,100.0,58.13,58.37,0.022222222222222223
0,resnet9,fmnist,7,2,False,True,0.5,100.0,93.19,93.15,0.9111111111111112
0,resnet9,fmnist,7,2,False,True,0.2,100.0,93.02,92.28,0.6777777777777777
0,resnet9,fmnist,7,2,False,True,0.09,100.0,87.33,86.67,0.011111111111111112
0,resnet9,fmnist,7,2,False,True,0.06,100.0,91.63,90.92,0.5777777777777777
0,resnet9,fmnist,7,2,False,True,0.04,99.952,84.27,83.28,0.28888888888888886
0,resnet9,fmnist,7,3,False,True,0.5,100.0,93.28999999999999,92.80000000000001,1.8222222222222224
0,resnet9,fmnist,7,3,False,True,0.2,100.0,92.04,90.75999999999999,1.0222222222222224
0,resnet9,fmnist,7,3,False,True,0.09,100.0,86.72,86.13,0.12222222222222222
0,resnet9,fmnist,7,3,False,True,0.06,100.0,84.86,84.71,0.8111111111111111
0,resnet9,fmnist,7,3,False,True,0.04,100.0,82.93,81.74,0.42222222222222217
0,lenet,fmnist,1,1,False,True,0.5,92.56,89.67,88.55,15.622222222222224
0,lenet,fmnist,1,1,False,True,0.2,90.872,89.07000000000001,88.32,42.977777777777774
0,lenet,fmnist,1,1,False,True,0.09,89.972,88.51,88.33,61.53333333333333
0,lenet,fmnist,1,1,False,True,0.06,89.11200000000001,88.79,88.06,62.74444444444445
0,lenet,fmnist,1,1,False,True,0.04,88.664,88.94,87.52,40.21111111111111
0,lenet,fmnist,1,2,False,True,0.5,93.852,90.8,89.52,23.133333333333333
0,lenet,fmnist,1,2,False,True,0.2,91.264,89.41,88.82,56.39999999999999
0,lenet,fmnist,1,2,False,True,0.09,89.63600000000001,89.08,88.37,35.47777777777778
0,lenet,fmnist,1,2,False,True,0.06,89.11200000000001,88.24,87.64999999999999,46.18888888888889
0,lenet,fmnist,1,2,False,True,0.04,88.188,88.14999999999999,87.42999999999999,43.12222222222222
0,lenet,fmnist,1,3,False,True,0.5,94.484,89.86,89.11,4.333333333333334
0,lenet,fmnist,1,3,False,True,0.2,92.132,90.02,89.05,10.21111111111111
0,lenet,fmnist,1,3,False,True,0.09,91.156,88.71,88.57000000000001,4.1000000000000005
0,lenet,fmnist,1,3,False,True,0.06,90.916,88.64,88.78,4.7444444444444445
0,lenet,fmnist,1,3,False,True,0.04,90.724,88.84,87.88,4.155555555555555
0,lenet,fmnist,3,1,False,True,0.5,94.94399999999999,89.91,89.55,6.3
0,lenet,fmnist,3,1,False,True,0.2,90.944,89.57000000000001,88.89,31.166666666666664
0,lenet,fmnist,3,1,False,True,0.09,89.896,88.48,87.86,24.788888888888888
0,lenet,fmnist,3,1,False,True,0.06,89.29599999999999,88.01,87.45,51.31111111111111
0,lenet,fmnist,3,1,False,True,0.04,87.68,87.74,86.98,73.5
0,lenet,fmnist,3,2,False,True,0.5,94.736,90.46,89.49000000000001,7.000000000000001
0,lenet,fmnist,3,2,False,True,0.2,91.104,89.05999999999999,89.05999999999999,46.61111111111111
0,lenet,fmnist,3,2,False,True,0.09,89.376,88.01,87.51,26.155555555555555
0,lenet,fmnist,3,2,False,True,0.06,89.176,87.75,87.24,23.933333333333334
0,lenet,fmnist,3,2,False,True,0.04,88.568,88.57000000000001,87.28,44.21111111111111
0,lenet,fmnist,3,3,False,True,0.5,95.616,90.10000000000001,89.5,4.322222222222223
0,lenet,fmnist,3,3,False,True,0.2,93.816,89.9,89.49000000000001,8.488888888888889
0,lenet,fmnist,3,3,False,True,0.09,92.608,89.34,89.0,7.68888888888889
0,lenet,fmnist,3,3,False,True,0.06,92.888,90.01,89.05,5.422222222222222
0,lenet,fmnist,3,3,False,True,0.04,91.008,89.14999999999999,88.5,4.488888888888889
0,lenet,fmnist,5,1,False,True,0.5,94.91179647185888,90.07,89.34,38.72222222222222
0,lenet,fmnist,5,1,False,True,0.2,92.48769950798031,89.94,89.12,18.755555555555556
0,lenet,fmnist,5,1,False,True,0.09,90.26761070442818,88.96,88.47,59.211111111111116
0,lenet,fmnist,5,1,False,True,0.06,89.0315612624505,88.16000000000001,87.3,38.91111111111111
0,lenet,fmnist,5,1,False,True,0.04,88.79155166206648,87.71,87.3,46.28888888888889
0,lenet,fmnist,5,2,False,True,0.5,95.01980079203169,90.66,89.48,12.344444444444443
0,lenet,fmnist,5,2,False,True,0.2,91.50366014640585,89.29,89.17,43.68888888888889
0,lenet,fmnist,5,2,False,True,0.09,90.29161166446657,88.36,87.88,34.15555555555556
0,lenet,fmnist,5,2,False,True,0.06,88.61154446177846,87.94,87.22,28.28888888888889
0,lenet,fmnist,5,2,False,True,0.04,88.05952238089525,87.74,86.92999999999999,43.266666666666666
0,lenet,fmnist,5,3,False,True,0.5,96.6998679947198,90.35,89.9,4.0888888888888895
0,lenet,fmnist,5,3,False,True,0.2,93.8797551902076,89.56,89.36,3.266666666666666
0,lenet,fmnist,5,3,False,True,0.09,93.32773310932437,90.28,89.45,2.588888888888889
0,lenet,fmnist,5,3,False,True,0.06,91.65966638665547,89.41,89.2,3.355555555555555
0,lenet,fmnist,5,3,False,True,0.04,91.20364814592584,89.03999999999999,88.74,4.777777777777778
0,lenet,fmnist,7,1,False,True,0.5,94.608,89.89,89.69,7.466666666666668
0,lenet,fmnist,7,1,False,True,0.2,92.54400000000001,89.46,89.17,27.833333333333332
0,lenet,fmnist,7,1,False,True,0.09,90.512,88.79,88.22,34.97777777777778
