EXPERIMENT_NUMBER,NETWORK_ARCH,DATASET,NUMBER_OF_CLIENTS,CUT_LAYER,TB_INJECT,FIXED_ALPHA,ALPHA,TRAIN_ACCURACY,VALIDATION_ACCURACY,TEST_ACCURACY,BD_TEST_ACCURACY
0,resnet9,mnist,1,1,FALSE,TRUE,0.5,100,99.42,99.55,2.738359202
0,resnet9,mnist,1,1,FALSE,TRUE,0.2,100,98.69,98.9,0.188470067
0,resnet9,mnist,1,1,FALSE,TRUE,0.09,100,78.7,79.57,1.152993348
0,resnet9,mnist,1,1,FALSE,TRUE,0.06,99.992,79.8,80.9,42.71618625
0,resnet9,mnist,1,1,FALSE,TRUE,0.04,99.988,29.39,29.39,61.48558758
0,resnet9,mnist,1,2,FALSE,TRUE,0.5,100,99.45,99.55,0.099778271
0,resnet9,mnist,1,2,FALSE,TRUE,0.2,100,99.38,99.4,0.188470067
0,resnet9,mnist,1,2,FALSE,TRUE,0.09,99.996,97.46,97.67,0.487804878
0,resnet9,mnist,1,2,FALSE,TRUE,0.06,99.996,98.37,98.68,1.89578714
0,resnet9,mnist,1,2,FALSE,TRUE,0.04,99.984,84.7,85.74,23.53658537
0,resnet9,mnist,1,3,FALSE,TRUE,0.5,100,99.49,99.44,0.110864745
0,resnet9,mnist,1,3,FALSE,TRUE,0.2,100,98.72,98.66,0.388026608
0,resnet9,mnist,1,3,FALSE,TRUE,0.09,99.996,36.96,36.78,0
0,resnet9,mnist,1,3,FALSE,TRUE,0.06,100,11.08,11.35,0
0,resnet9,mnist,1,3,FALSE,TRUE,0.04,100,10.89,11.35,0
0,resnet9,mnist,3,1,FALSE,TRUE,0.5,100,99.53,99.56,0.188470067
0,resnet9,mnist,3,1,FALSE,TRUE,0.2,100,99.03,98.91,0.34368071
0,resnet9,mnist,3,1,FALSE,TRUE,0.09,99.992,51.16,52.86,0.842572062
0,resnet9,mnist,3,1,FALSE,TRUE,0.06,100,67.83,69.94,53.64745011
0,resnet9,mnist,3,1,FALSE,TRUE,0.04,99.984,55.49,55.72,53.84700665
0,resnet9,mnist,3,2,FALSE,TRUE,0.5,100,99.45,99.53,0.088691796
0,resnet9,mnist,3,2,FALSE,TRUE,0.2,100,99.11,99.12,0.254988914
0,resnet9,mnist,3,2,FALSE,TRUE,0.09,100,99.15,99.42,0.266075388
0,resnet9,mnist,3,2,FALSE,TRUE,0.06,100,96.75,96.88,6.396895787
0,resnet9,mnist,3,2,FALSE,TRUE,0.04,100,93.2,94.24,1.485587583
0,resnet9,mnist,3,3,FALSE,TRUE,0.5,100,99.35,99.47,0.376940133
0,resnet9,mnist,3,3,FALSE,TRUE,0.2,100,97.98,98.03,0.188470067
0,resnet9,mnist,3,3,FALSE,TRUE,0.09,100,28.67,29.1,0
0,resnet9,mnist,3,3,FALSE,TRUE,0.06,100,11.61,11.35,0
0,resnet9,mnist,3,3,FALSE,TRUE,0.04,100,54.5,54.61,0
0,resnet9,mnist,5,1,FALSE,TRUE,0.5,100,99.41,99.57,1.086474501
0,resnet9,mnist,5,1,FALSE,TRUE,0.2,100,99.05,99.06,0.144124169
0,resnet9,mnist,5,1,FALSE,TRUE,0.09,99.98799952,82.1,83.01,1.297117517
0,resnet9,mnist,5,1,FALSE,TRUE,0.06,100,49.37,50.2,0.410199557
0,resnet9,mnist,5,1,FALSE,TRUE,0.04,99.98799952,18.98,19.65,0
0,resnet9,mnist,5,2,FALSE,TRUE,0.5,100,99.38,99.54,0.188470067
0,resnet9,mnist,5,2,FALSE,TRUE,0.2,100,99.23,99.39,0.055432373
0,resnet9,mnist,5,2,FALSE,TRUE,0.09,99.98799952,98.77,98.79,0.5654102
0,resnet9,mnist,5,2,FALSE,TRUE,0.06,100,97.12,97.55,0.177383592
0,resnet9,mnist,5,2,FALSE,TRUE,0.04,99.98799952,94.39,94.59,0.066518847
0,resnet9,mnist,5,3,FALSE,TRUE,0.5,100,99.4,99.48,0.188470067
0,resnet9,mnist,5,3,FALSE,TRUE,0.2,100,98.06,98.16,0.12195122
0,resnet9,mnist,5,3,FALSE,TRUE,0.09,100,63.49,64.96,0.055432373
0,resnet9,mnist,5,3,FALSE,TRUE,0.06,100,13.98,13.84,0
0,resnet9,mnist,5,3,FALSE,TRUE,0.04,99.98799952,11.74,11.35,0
0,resnet9,mnist,7,1,FALSE,TRUE,0.5,100,99.32,99.42,0.177383592
0,resnet9,mnist,7,1,FALSE,TRUE,0.2,100,99.27,99.34,0.110864745
0,resnet9,mnist,7,1,FALSE,TRUE,0.09,100,98.51,98.56,4.368070953
0,resnet9,mnist,7,1,FALSE,TRUE,0.06,99.984,54.23,55.39,2.050997783
0,resnet9,mnist,7,1,FALSE,TRUE,0.04,100,50.05,51.76,0.033259424
0,resnet9,mnist,7,2,FALSE,TRUE,0.5,100,99.29,99.52,0.177383592
0,resnet9,mnist,7,2,FALSE,TRUE,0.2,100,99.43,99.49,0.088691796
0,resnet9,mnist,7,2,FALSE,TRUE,0.09,100,98.22,98.19,0.011086475
0,resnet9,mnist,7,2,FALSE,TRUE,0.06,100,94.68,95.17,0.022172949
0,resnet9,mnist,7,2,FALSE,TRUE,0.04,100,95.97,96.08,0.110864745
0,resnet9,mnist,7,3,FALSE,TRUE,0.5,100,99.35,99.45,0.110864745
0,resnet9,mnist,7,3,FALSE,TRUE,0.2,100,98.78,98.69,0.177383592
0,resnet9,mnist,7,3,FALSE,TRUE,0.09,100,23.33,23.44,0
0,resnet9,mnist,7,3,FALSE,TRUE,0.06,100,93.24,92.96,0.055432373
0,resnet9,mnist,7,3,FALSE,TRUE,0.04,100,18.4,18.35,0
0,lenet,mnist,1,1,FALSE,TRUE,0.5,99.92,98.76,98.83,12.92682927
0,lenet,mnist,1,1,FALSE,TRUE,0.2,99.62,98.54,98.94,96.67405765
0,lenet,mnist,1,1,FALSE,TRUE,0.09,99.04,98.54,98.82,99.58980044
0,lenet,mnist,1,1,FALSE,TRUE,0.06,98.788,98.53,98.63,84.93348115
0,lenet,mnist,1,1,FALSE,TRUE,0.04,98.644,98.45,98.62,88.35920177
0,lenet,mnist,1,2,FALSE,TRUE,0.5,99.948,98.7,98.81,8.10421286
0,lenet,mnist,1,2,FALSE,TRUE,0.2,99.616,98.71,98.92,70.83148559
0,lenet,mnist,1,2,FALSE,TRUE,0.09,99.06,98.59,98.69,98.28159645
0,lenet,mnist,1,2,FALSE,TRUE,0.06,98.648,98.31,98.75,81.2195122
0,lenet,mnist,1,2,FALSE,TRUE,0.04,98.488,98.15,98.39,65.13303769
0,lenet,mnist,1,3,FALSE,TRUE,0.5,99.964,98.54,98.75,0.853658537
0,lenet,mnist,1,3,FALSE,TRUE,0.2,99.74,98.59,98.87,0.454545455
0,lenet,mnist,1,3,FALSE,TRUE,0.09,99.26,98.62,98.75,0.798226164
0,lenet,mnist,1,3,FALSE,TRUE,0.06,99.264,98.55,98.81,3.913525499
0,lenet,mnist,1,3,FALSE,TRUE,0.04,99.024,98.49,98.77,2.760532151
0,lenet,mnist,3,1,FALSE,TRUE,0.5,99.968,98.85,99.05,1.829268293
0,lenet,mnist,3,1,FALSE,TRUE,0.2,99.64,98.71,98.93,47.32815965
0,lenet,mnist,3,1,FALSE,TRUE,0.09,99.312,98.49,98.89,52.172949
0,lenet,mnist,3,1,FALSE,TRUE,0.06,98.944,98.39,98.83,92.18403548
0,lenet,mnist,3,1,FALSE,TRUE,0.04,98.72,98.54,98.65,92.27272727
0,lenet,mnist,3,2,FALSE,TRUE,0.5,99.968,98.82,99.09,0.376940133
0,lenet,mnist,3,2,FALSE,TRUE,0.2,99.648,98.78,98.99,83.07095344
0,lenet,mnist,3,2,FALSE,TRUE,0.09,98.832,98.47,98.83,95.38802661
0,lenet,mnist,3,2,FALSE,TRUE,0.06,99.048,98.52,98.62,99.00221729
0,lenet,mnist,3,2,FALSE,TRUE,0.04,98.672,98.44,98.58,95.39911308
0,lenet,mnist,3,3,FALSE,TRUE,0.5,99.992,98.83,99.19,0.576496674
0,lenet,mnist,3,3,FALSE,TRUE,0.2,99.816,98.75,99.06,0.598669623
0,lenet,mnist,3,3,FALSE,TRUE,0.09,99.48,98.53,98.97,0.731707317
0,lenet,mnist,3,3,FALSE,TRUE,0.06,99.112,98.66,98.73,2.461197339
0,lenet,mnist,3,3,FALSE,TRUE,0.04,99.008,98.51,98.77,0.931263858
0,lenet,mnist,5,1,FALSE,TRUE,0.5,99.97599904,98.57,99.1,1.518847007
0,lenet,mnist,5,1,FALSE,TRUE,0.2,99.66398656,98.82,99.08,39.64523282
0,lenet,mnist,5,1,FALSE,TRUE,0.09,99.19596784,98.7,98.8,56.1308204
0,lenet,mnist,5,1,FALSE,TRUE,0.06,99.0399616,98.49,98.75,64.04656319
0,lenet,mnist,5,1,FALSE,TRUE,0.04,98.54794192,98.14,98.41,12.41685144
0,lenet,mnist,5,2,FALSE,TRUE,0.5,99.96399856,98.98,99.01,1.629711752
0,lenet,mnist,5,2,FALSE,TRUE,0.2,99.53198128,98.79,98.88,52.23946785
0,lenet,mnist,5,2,FALSE,TRUE,0.09,99.2799712,98.81,98.86,58.18181818
0,lenet,mnist,5,2,FALSE,TRUE,0.06,99.01596064,98.24,98.78,86.94013304
0,lenet,mnist,5,2,FALSE,TRUE,0.04,98.70394816,98.07,98.57,44.9556541
0,lenet,mnist,5,3,FALSE,TRUE,0.5,99.97599904,98.98,99.04,0.266075388
0,lenet,mnist,5,3,FALSE,TRUE,0.2,99.79599184,98.83,99.15,0.487804878
0,lenet,mnist,5,3,FALSE,TRUE,0.09,99.5199808,98.97,99.01,1.419068736
0,lenet,mnist,5,3,FALSE,TRUE,0.06,99.37597504,98.57,98.79,0.554323725
0,lenet,mnist,5,3,FALSE,TRUE,0.04,98.94395776,98.53,98.66,2.062084257
0,lenet,mnist,7,1,FALSE,TRUE,0.5,99.952,99.1,99.11,2.971175166
0,lenet,mnist,7,1,FALSE,TRUE,0.2,99.744,98.84,99.02,1.818181818
